id_municipio,nome_municipio,sigla_uf,regiao,populacao_urbana_2013,prestador_servico_esgotamento_sanitario,indice_sem_atendimento_sem_coleta_sem_tratamento,indice_atendimento_solucao_individual,indice_atendimento_com_coleta_sem_tratamento,indice_atendimento_com_coleta_com_tratamento,vazao_sem_coleta_sem_tratamentodividido por hab,vazao_solucao_individualdividido por hab,vazao_com_coleta_sem_tratamentodividido por hab,vazao_com_coleta_com_tratamentodividido por hab,vazao_totaldividido por hab,carga_gerada_sem_coleta_sem_tratamentodividido por hab,carga_gerada_encaminhada_solucao_individualdividido por hab,carga_gerada_com_coleta_sem_tratamentodividido por hab,carga_gerada_com_coleta_com_tratamentodividido por hab,carga_gerada_totaldividido por hab,carga_lancada_sem_coleta_sem_tratamentodividido por hab,carga_lancada_proveniente_solucao_individualdividido por hab,carga_lancada_com_coleta_sem_tratamentodividido por hab,carga_lancada_com_coleta_com_tratamentodividido por hab,carga_lancada_totaldividido por hab,investimento_coletadividido por hab,investimento_tratamentodividido por hab,investimento_coleta_tratatamentodividido por hab,necessidade_remocao_dbo,tipologia_solucao,atencao_fosforo,atencao_nitrogenio
1100015,Alta Floresta D'Oeste,RO,Norte,14735,Serviço Autônomo de Água e Esgoto,0.9673,0.0185,0.0142,0,0.0009908381404818,2.035968781812012e-05,1.3573125212080085e-05,0.0,0.001024770953512,0.0522361723786901,0.0009976247030878,0.0007668815744825,0.0,0.0540006786562606,0.0522361723786901,0.0004004071937563,0.0007668815744825,0.0,0.053403461146929,1144.675567058025,291.72242574278926,1436.3979927994571,Acima de 80%,Tratamento secundário avançado,Não,Não
1100023,Ariquemes,RO,Norte,85770,Companhia de Águas e Esgotos de Rondônia,0.8941,0.0858,0.0202,0,0.0014655473941937,0.0001410749679375,3.264544712603474e-05,0.0,0.0016392678092573,0.0482791185729275,0.0046309898565932,0.0010889588434184,0.0,0.0540002331817651,0.0482791185729275,0.0018526291244024,0.0010889588434184,0.0,0.0512207065407485,1392.8001503789203,291.9638530115425,1684.7640033927948,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100031,Cabixi,RO,Norte,2771,Prefeitura Municipal de Cabixi,0.99,0.0063,0.0037,0,0.0015517863587152,0.0,0.0,0.0,0.0015517863587152,0.053446409238542,0.0003247924936845,0.000216528329123,0.0,0.0539877300613496,0.053446409238542,0.0001443522194153,0.000216528329123,0.0,0.0538072897870804,1754.007768982317,249.09990721436304,2003.107676196319,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100049,Cacoal,RO,Norte,67665,Serviço Autônomo de Água e Esgoto de Cacoal,0.2882,0.1618,0.0,0.55,0.0004463164117342,0.0002512377152146,0.0,0.0008512524939037,0.0015488066208527,0.0155634375230917,0.008737161013818,0.0,0.0297007315451119,0.0539998522131087,0.0155634375230917,0.0034951599793098,0.0,0.0074248134190497,0.0264834109214512,575.2074037715215,72.29611761117269,647.5035213818074,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100056,Cerejeiras,RO,Norte,15276,Prefeitura Municipal de Cerejeiras,0.7964,0.1969,0.0067,0,0.0011390416339355,0.0002814873003404,6.546216286986123e-06,0.0,0.0014270751505629,0.0430020947892118,0.0106310552500654,0.0003600418957842,0.0,0.0539997381513485,0.0430020947892118,0.0042550405865409,0.0003600418957842,0.0,0.047623723487824,1022.7422062778214,258.66087886095835,1281.4030851335426,Acima de 80%,Tratamento secundário avançado,Não,Não
1100064,Colorado do Oeste,RO,Norte,14097,Prefeitura Municipal de Colorado do Oeste,0.9493,0.0404,0.0103,0,0.0013903667446974,5.674966304887565e-05,1.4187415762218912e-05,0.0,0.0014613038235085,0.051266226856778,0.0021848620273817,0.0005533092147265,0.0,0.0539973043910051,0.051266226856778,0.0008725260693764,0.0005533092147265,0.0,0.052692062140881,1090.2945482088387,186.5060842370717,1276.8006324466198,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100072,Corumbiara,RO,Norte,2665,Prefeitura Municipal de Corumbiara,0.922,0.0649,0.0131,0,0.0013133208255159,7.5046904315197e-05,0.0,0.0,0.0014258911819887,0.0497936210131332,0.0034896810506566,0.0007129455909943,0.0,0.0539962476547842,0.0497936210131332,0.0013883677298311,0.0007129455909943,0.0,0.0518949343339587,2547.7216729530955,363.5922487474672,2911.3139216998125,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100080,Costa Marques,RO,Norte,8689,Prefeitura Municipal de Costa Marques,0.8958,0.0852,0.0189,0,0.0014155829209345,0.0001381056508228,3.4526412705719874e-05,0.0,0.0015767061802278,0.0483715042007135,0.0046035216940959,0.0010242835769363,0.0,0.0539993094717458,0.0483715042007135,0.0018414086776383,0.0010242835769363,0.0,0.0512371964552882,1404.571244504546,317.6899590654851,1722.2612035677294,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100098,Espigão D'Oeste,RO,Norte,22741,Prefeitura Municipal de Espigão D Oeste,0.8496,0.1382,0.0122,0,0.0012136669451651,0.0001978804801899,1.75893760168858e-05,0.0,0.0014247394573677,0.0458818873400466,0.0074622927751638,0.0006596016006332,0.0,0.0539993843718394,0.0458818873400466,0.0029857965788663,0.0006596016006332,0.0,0.0495228881755419,1414.4020571742667,386.7401790818346,1801.1422362561011,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100106,Guajará-Mirim,RO,Norte,38676,Companhia de Águas e Esgotos de Rondônia,0.7553,0.1445,0.1002,0,0.0011040438514841,0.0002120177888095,0.0001473782190505,0.0,0.0014634398593442,0.0407875685179439,0.0078007032785189,0.0054116247802254,0.0,0.0539998965766883,0.0407875685179439,0.0031207984279656,0.0054116247802254,0.0,0.049319991726135,1099.305601543593,224.6357255310787,1323.9413270762232,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
