id_municipio,sigla_uf,populacao_urbana_2013,populacao_urbana_2035,prestador_servico_esgotamento_sanitario,sigla_prestador,indice_sem_atendimento_sem_coleta_sem_tratamento,indice_atendimento_solucao_individual,indice_atendimento_com_coleta_sem_tratamento,indice_atendimento_com_coleta_com_tratamento,vazao_sem_coleta_sem_tratamento,vazao_solucao_individual,vazao_com_coleta_sem_tratamento,vazao_com_coleta_com_tratamento,vazao_total,carga_gerada_sem_coleta_sem_tratamento,carga_gerada_encaminhada_solucao_individual,carga_gerada_com_coleta_sem_tratamento,carga_gerada_com_coleta_com_tratamento,carga_gerada_total,carga_lancada_sem_coleta_sem_tratamento,carga_lancada_proveniente_solucao_individual,carga_lancada_com_coleta_sem_tratamento,carga_lancada_com_coleta_com_tratamento,carga_lancada_total,indice_atendimento_etes_2035,indice_atendimento_solucao_individual_2035,carga_gerada_total_2035,carga_afluente_ete_2035,carga_efluente_ete_2035,carga_afluente_solucao_individual_2035,carga_efluente_solucao_individual_2035,populacao_atendida_2035,investimento_coleta,investimento_tratamento,investimento_coleta_tratatamento,necessidade_remocao_dbo,tipologia_solucao,atencao_fosforo,atencao_nitrogenio
1100015,RO,14735,15507,Serviço Autônomo de Água e Esgoto,SAAE,0.9673,0.0185,0.0142,0,14.6,0.3,0.2,0,15.1,769.7,14.7,11.3,0,795.7,769.7,5.9,11.3,0,786.9,0.9,0.1,837.4,753.7,75.4,83.7,33.5,13956,16866794.4806,4298529.94332,21165324.4239,Acima de 80%,Tratamento secundário avançado,Não,Não
1100023,RO,85770,121503,Companhia de Águas e Esgotos de Rondônia,CAERD,0.8941,0.0858,0.0202,0,125.7,12.1,2.8,0,140.6,4140.9,397.2,93.4,0,4631.6,4140.9,158.9,93.4,0,4393.2,0.9,0.1,6561.2,5905.1,2362,656.1,262.4,109353,119460468.898,25041739.6728,144502208.571,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100031,RO,2771,3349,Prefeitura Municipal de Cabixi,PM,0.99,0.0063,0.0037,0,4.3,0,0,0,4.3,148.1,0.9,0.6,0,149.6,148.1,0.4,0.6,0,149.1,0.9,0.1,180.8,162.7,65.1,18.1,7.2,3014,4860355.52785,690255.842891,5550611.37074,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100049,RO,67665,80311,Serviço Autônomo de Água e Esgoto de Cacoal,SAAE,0.2882,0.1618,0,0.55,30.2,17,0,57.6,104.8,1053.1,591.2,0,2009.7,3653.9,1053.1,236.5,0,502.4,1792,0.9,0.1,4336.8,3903.1,975.8,433.7,173.5,72280,38921408.9762,4891916.79816,43813325.7743,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100056,RO,15276,14254,Prefeitura Municipal de Cerejeiras,PM,0.7964,0.1969,0.0067,0,17.4,4.3,0.1,0,21.8,656.9,162.4,5.5,0,824.9,656.9,65,5.5,0,727.5,0.9,0.1,769.7,692.7,69.3,77,30.8,12829,15623409.9431,3951303.58548,19574713.5285,Acima de 80%,Tratamento secundário avançado,Não,Não
1100064,RO,14097,14079,Prefeitura Municipal de Colorado do Oeste,PM,0.9493,0.0404,0.0103,0,19.6,0.8,0.2,0,20.6,722.7,30.8,7.8,0,761.2,722.7,12.3,7.8,0,742.8,0.9,0.1,760.3,684.3,136.8,76,30.4,12671,15369882.2461,2629176.26949,17999058.5156,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100072,RO,2665,4701,Prefeitura Municipal de Corumbiara,PM,0.922,0.0649,0.0131,0,3.5,0.2,0,0,3.8,132.7,9.3,1.9,0,143.9,132.7,3.7,1.9,0,138.3,0.9,0.1,253.9,228.5,91.4,25.4,10.2,4231,6789678.25842,968973.342912,7758651.60133,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100080,RO,8689,11234,Prefeitura Municipal de Costa Marques,PM,0.8958,0.0852,0.0189,0,12.3,1.2,0.3,0,13.7,420.3,40,8.9,0,469.2,420.3,16,8.9,0,445.2,0.9,0.1,606.6,545.9,218.4,60.7,24.3,10111,12204319.5435,2760408.05432,14964727.5978,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100098,RO,22741,30880,Prefeitura Municipal de Espigão D Oeste,PM,0.8496,0.1382,0.0122,0,27.6,4.5,0.4,0,32.4,1043.4,169.7,15,0,1228,1043.4,67.9,15,0,1126.2,0.9,0.1,1667.5,1500.8,45,166.8,66.7,27792,32164917.1822,8794858.4125,40959775.5947,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100106,RO,38676,44719,Companhia de Águas e Esgotos de Rondônia,CAERD,0.7553,0.1445,0.1002,0,42.7,8.2,5.7,0,56.6,1577.5,301.7,209.3,0,2088.5,1577.5,120.7,209.3,0,1907.5,0.9,0.1,2414.8,2173.3,869.3,241.5,96.6,40247,42516743.4453,8688011.32064,51204754.766,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100114,RO,37544,39204,Prefeitura Municipal de Jaru,PM,0.949,0.0338,0.0172,0,54.6,1.9,1,0,57.6,1923.9,68.5,34.9,0,2027.4,1923.9,27.4,34.9,0,1986.3,0.9,0.1,2117,1905.3,762.1,211.7,84.7,35284,40490907.5783,7789008.21045,48279915.7887,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
